pronunciation	standard
상량하면 주인하고 일꾼들이 음식도 농갈라 묵꼬 술도 마시고 그랜니더	상량하면 주인하고 일꾼들이 음식도 나눠 먹고 술도 마시고 그랬습니다
우리 어무이는 솜씨가 조아가 옷도 잘 맹글고 음속또 마깔나고로 해씀니더	우리 어머니는 솜씨가 좋아서 옷도 잘 만들고 음식도 맛깔나게 했습니다
윤디를 화로에 올려놓고 뜨겁구로 달궈가 윤디질을 하지로	인두를 화로에 올려놓고 뜨겁게 달궈서 인두질을 하지
지금 얼렁 밥쌍부텀 채릴 테니까 배가 고프더라도 조금만 차므시소	지금 얼른 빕상부터 차릴 테니까 배가 고프더라도 조금만 참으세요
소느은 트레기 까만 것도 있고 빨간 것도 있는데 그케도 누런 게 제일 만치로	소는  털이  까만 것도 있고 빨간 것도 있는데 그래도  누런 게 제일 많습니다
시아버지께서 느께까정 안 들어오만 홀빈해가 불 켜놓고 밤새 기다리고 그랬니더	시아버지께서 늦게까지 안 들어오면 허전해서 불 켜놓고 밤새 기다리고 그랬습니다
올해는 날씨도 좋았고 비도 적땅하구로 와가 밭농새드가 정말 잘 잘 된 편이라	올해는 날씨도 좋았고 비도 적당하게 와서 밭농새드가 정말 잘 잘 된 편이야
자슥들 서울에서 직장 다니는데 바빠가 연락은 잘 못해도 잘 있지 않겠능교	자식들 서울에서 직장 다니는데 바빠서 연락은 잘 못해도 잘 있지 않겠습니까
알라가 놀이공원에 가자고 저렇게 짭치는데 바빠도 한 번은 가봅시더	아이가 놀이공원에 가자고 저렇게 조르는데 바빠도 한 번은 가봅시다
여유가 있는 사람들은 개아집 지을 때 보통 몇 칸짜리 집을 지어씀니꺼	여유가 있는 사람들은 기와집 지을 때 보통 몇 칸짜리 집을 지었습니까
이 구죽 신은 지 오년이 지내니까 굽이 다 딸아가 이자는 내삐리야겠다	이 구두 신은 지 오년이 지나니까 굽이 다 닳아서 이제는 버려야겠다
날이 더우만 소금을 조깨 넣고 추우만 마이 넣고 그래야 맛이 제대로 납니더	날이 더우면 소금을 조금 넣고 추우면 많이 넣고 그래야 맛이 제대로 납니다
나물 무칠 때는 간을 강가무리하구로 맞춰야지 안 그라모 쓴 맛이 나서 안 데	나물 무칠 때는 간을 간간하게 맞춰야지 안 그러면 쓴 맛이 나서 안 돼
담장은 납작한 돌삐를 가지고 쭉 이아 멩글기도 하는디 다 그렇지는 안니더	담장은 납작한 돌멩이를 가지고 쭉 이어 만들기도 하는데 다 그렇지는 않아요
여개는 전에 살던 데보다 시설도 좋고 애들 핵교도 정말 가차바가 조아예	여기는  전에 살던 데보다 시설도 좋고 애들 학교도  정말 가까워서  좋습니다
휴가 때만 되면 사람들이 여기 놀러 와가 쓰레기를 내삐리가 언선스럽따	휴가 때만 되면 사람들이 여기 놀러 와서 쓰레기를 내버려서 지긋지긋하다
오늘 비올 것 같으니까 우산 챙기가고 이자삐지 말고 단디 챙겨가 온나	오늘 비올 것 같으니까 우산 챙겨가고 잊어버리지 말고 단단히 챙겨서 와라
여기는 촌구석이라 병원에 갈라꼬 하만 차를 타고 한참을 나가야 함니더	여기는 촌구석이라 병원에 가려고 하면 차를 타고 한참을 나가야 합니다
가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 올라꼬 해요	가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 오려고 해요
삼신할매한테 자 자슥뜰 공부 잘하고 가족들 건강하구로 해 달라고 비럳찌로	삼신할머니한테 자 자식들 공부 잘하고 가족들 건강하게 해 달라고 빌었지
알라가 어제부텀 열이 안 떠러지는디 이러다 킬 나는 거 아닌지 모리게따	아이가 어제부터 열이 안 떨어지는데 이러다 큰일 나는 거 아닌지 모르겠다
코피가 안 멈치고 이러쿰 계속 나만 병원에 가봐야 하는 거 아닌교	코피가 안 멈추고 이러쿰 계속 나면 병원에 가봐야 하는 거 아니에요
요새는 예물도 마이 하지만 옛날에 우리 결혼할 때는 생각도 몯핸니더	요새는 예물도 많이 하지만 옛날에 우리 결혼할 때는 생각도 못했습니다
겨울에는 주우적삼 안에 소캐뭉치를 넣고 꼬매가 이번닌더	겨울에는 바지저고리 안에 솜뭉치를 넣고 꿰매서 입었습니다
지금 안기도 짙고 파도가 노파가 배가 만개 못 댕긴다고 하대예	지금 안개도 짙고 파도가 높아서 배가 전부 못 다닌다고 해요
이웃이 좀 시끄러워도 사이가 불편해질까 봐 고마 참고 사랐니더	이웃이 좀 시끄러워도 사이가 불편해질까 봐 그냥 참고 살았어요
지난주에 상초도 숨카 놓았으니까 사월 초쯤 데마 무글 수 있을 껌니더	지난주에 상추도 심어 놓았으니까 사월 초쯤 되면 먹을 수 있을 겁니다
여어는 시골이라 교통이 쫌 불펴난디 공기도 께끄마고 겡치가 참 조아예	여기는 시골이라 교통이 좀 불편한데 공기도 깔끔하고 경치가 참 좋아요
시래기를 새끼에 영따서 말려놨다가 난중에 국 끓일 때 여어가 무그만 마시써예	시래기를 새끼에 엮어서 말려놨다가 나중에 국 끓일 때 넣어서 먹으면 맛있어요
대지 잡을 때는 어 어른이 여럿 붙어야지 안그라모 힘드러가 못 짬니더	돼지 잡을 때는 어 어른이 여럿 붙어야지 안그러면 힘들어서 못 잡습니다
방에 가래떡하고 술을 차려 노아쓰니께 편하게 드시면서 말씀 나누시소	방에 가래떡하고 술을 차려 놓았으니까 편하게 드시면서 말씀 나누세요
빨리 먹으면 과식하게 되니까 배고파도 잘 드시는 게 좋슴니더	빨리 먹으면 과식하게 되니까 배고파도 잘 드시는 게 좋습니다
비가 마이 오면 축대부터 살피고 위험하다 싶으면 퍼뜩 집에서 나와야 합니더	비가 많이 오면 축대부터 살피고 위험하다 싶으면 빨리 집에서 나와야 합니다
운동을 안 하면 좋은 약을 많이 무가도 아무 소용이 업습니데이	운동을 안 하면 좋은 약을 많이 먹어도 아무 소용이 없습니다
드르븐 살째기 데쳐가 무쳐 무끼도 하고 꼬치장에 찍어 무끼도 해써에	두릅은 살짝 데쳐서 무쳐 먹기도 하고 고추장에 찍어 먹기도 했어요
어릴 때 핵꾜는 못 가고 풀 빌러 가고 소 풀 메기러 다니고 그랟니더	어릴 때 학교는 못 가고 풀 베러 가고 소 풀 먹이러 다니고 그랬습니다
여름철에는 모든 음식을 잘 익카 묵고 물도 꼭 낋인 것만 드셔야 데예	여름철에는 모든 음식을 잘 익혀서 먹고 물도 꼭 끓인 것만 드셔야 돼요
모기향을 피우만 화재 위험이 이쓰니께 모구장을 쳐 놓고 주무시는 게 좋아예	모기향을 피우면 화재 위험이 있으니까 모기장을 쳐 놓고 주무시는 게 좋아요
엘리베이터에 갇이키만 우러그로 나올라꼬 하지 말고 비상벨을 문질러서 도움을 청하시소	엘리베이터에 갇히면 억지로 나오려고 하지 말고 비상벨을 문질러서 도움을 청하세요
스님이 시주하러 오면 마이는 못 드려도 쌀을 쪼매쓱 담아 드리고 그랜니더	스님이 시주하러 오면 많이는 못 드려도 쌀을 조금씩 담아 드리고 그랬습니다
일을 잘할 수 있으만 지가 맡아서 하든지 아이믄 당신이 노가리는 하지 말아야지	일을 잘할 수 있으면 자기가 맡아서 하든지 아니면 당신이 잔소리는 하지 말아야지
비틀로 옷을 마드러가 입으셨다고 했는데 옷 맹그는 과정을 알레 주실럼니꺼	베틀로 옷을 만들어 입으셨다고 했는데 옷 만드는 과정을 말씀해 주시겠어요
우리 며느리는 농사 일은 잘 못해도 청소 하나는 정강스럽게 잘 하니더	우리 며느리는 농사 일은 잘 못해도 청소 하나는 정갈나게 잘 합니다
점심 때 돌잔치 가가 어띠나 마이 무겄는지 배불러서 저녁은 몬 묵께써요	점심 때 돌잔치 가서 어찌나 많이 먹었는지 배불러서 저녁은 못 먹겠어요
처음에는 형한테 화가 마이 났었는데 이야기를 듣다 보니께 이해가 되더라고요	처음에는 형한테 화가 많이 났었는데 이야기를 듣다 보니까 이해가 되더라고요
삼비는 하루 저녀기만 마이 짜는디 멩주는 촘촘해가 암만 짜도 마이 못 짜예	삼베는 하루 저녁이면 많이 짜는데 명주는 촘촘해서 암만 짜도 많이 못 짜요
가스레인지에 불 켜 놓은 걸 어저뿌리서 음식을 마카 태울 뻔핸니더	가스레인지에 불 켜 놓은 걸 잊어버려서 음식을 모두 태울 뻔했어요
오랫동안 한 동네에서 살았던 할마인디 돌아가시니까 매미 아프네요	오랫동안 한 동네에서 살았던 할머니인데 돌아가시니까 마음이 아프네요
혈압약은 시간을 맏춰가 챙겨 드셔야지 안 그라몬 호꽈가 업씀니더	혈압약은 시간을 맞춰서 챙겨 드셔야지 안 그러면 효과가 없습니다
집에 돌아와 보니께 문이 열려 있고 빼다지에 여논 돈이 전부 업써져떠이더	집에 돌아와 보니까 문이 열려 있고 서랍에 넣어놓은 돈이 전부 없어졌습니다
아들 오늘 중요한 시험 보니까 이 생엿하고 찹쌀떡 묵꼬 힘내서 시험 잘 바래이	아들 오늘 중요한 시험 보니까 이 생엿하고 찹쌀떡 먹고 힘내서 시험 잘 봐라
옛날부터 조상꿈이나 돼지 꿈 꾸만 집에 돈 들어온다고 조아핻지로	옛날부터 조상꿈이나 돼지 꿈 꾸면 집에 돈 들어온다고 좋아했지요
겨울에 먹을 채소나 과일 같은 것은 어디에 보관을 해씀니꺼	겨울에 먹을 채소나 과일 같은 것은 어디에 보관을 했습니까
친정 동네하고 이 동네하고 차례 지낼 때 쌍 차리는 건 뭐가 다르나요	친정 동네하고 이 동네하고 차례 지낼 때 상 차리는 건 뭐가 다르나요
촌구석이라 젊은 사람은 함부레 없고 전부 노인들만 잇스니까네 농사짓기도 힘들어	촌구석이라 젊은 사람은 아예 없고 전부 노인들만 있으니까 농사짓기도 힘들어
소도 사람맨치러 잘 미겨야 근육도 붙고 힘도 쌩거서 일을 잘 하지로	소도 사람처럼 잘 먹여야 근육도 붙고 힘도 생겨서 일을 잘 하지요
옷가심을 짜를 때는 미리 선을 끄러 놓아야 쪽바리 자를 수가 있어요	옷감을 자를 때는 미리 선을 그어 놓아야 똑바로 자를 수가 있어요
원래는 배추 농사가 잘 안돼가지고 김장을 할라믄 좀 사와가 담가야 되겠다	원래는 배추 농사가 잘 안돼가지고 김장을 할라면 좀 사와서 담가야 되겠다
우리 메누리는 자슥뜰 잘 챙기고 차캐가 내가 얼마나 자랑을 하고 댕긴다꼬	우리 며느리는 자식들 잘 챙기고 착해서 내가 얼마나 자랑을 하고 다닌다고
배치 한 포기 키우는 것도 이러코럼 힘든디 어무이는 우예 평생 농사를 짓고 살았을까	배추 한 포기 키우는 것도 이렇게 힘든데 어머니는 어떻게 평생 농사를 짓고 살았을까
비가 올 줄도 모르고 쎄차를 하루종일 열심히 했는데 완전히 헛수고 핻따는	비가 올 줄도 모르고 세차를 하루종일 열심히 했는데 완전히 헛수고 했다
요새는 씨워리 좋다만 우리 클 때는 하고 싶은 것도 몬 하고 골무리 많았다	요새는 세월이 좋다만 우리 클 때는 하고 싶은 것도 못 하고 고생이 많았다
전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어려워가 집에 전화 모탠니데	전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어려워서 집에 전화 못했어요
어무이 지금 차 타고 자 나갈라꼬 하는디 혹시 읍내로 나가시만 태워 드릴께예	어머니 지금 차 타고 장에 나가려고 하는데 혹시 읍내로 나가시면 태워다 드릴게요
어깨가 뻐근한디 얼음 뜸질 좀 하구로 냉장고에 얼음 좀 꺼내 도래	어깨가 뻐근한데 얼음 찜질 좀 하게 냉장고에 얼음 좀 꺼내 줘
마당을 계속 관리해야지 안 그라면 금세 잡초가 자라고 엉망이 돼요	마당을 계속 관리해야지 안 그라면 금세 잡초가 자라고 엉망이 돼요
옛날에는 무글 것이 업으니까네 겨울에 고드름도 맛있다고 묵꼬 그랬지롱	옛날에는 먹을 것이 없으니까 겨울에 고드름도 맛있다고 먹고 그랬지롱
지사를 안 모실 것 가트만 모리지만 지사를 모실 것 같으면 정성을 들여야 되니데	제사를 안 모실 것 같으면 모르지만 제사를 모실 것 같으면 정성을 들여야 됩니다
밭이 별로 크지도 안으니까네 카배추보다는 상추 거튼 걸 숭구는기 조쿤니더	밭이 별로 크지도 않으니까 양배추보다는 상추 같은 걸 심는게 좋습니다
옛날에는 혼자 짐장을 핻는디 요즘은 힘드러가 동네 사람들하고 같이 함니더	옛날에는 혼자 김장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다
산에 가서 조금만 댕겨 보면 지팽이 만들기 좋은 나무가 천지삐까리시디	산에 가서 조금만 다녀 보면 지팡이 만들기 좋은 나무가 엄청 많다
다리도 아프고 날이 뜨거우니까네 저기 그렁지 에서 잠시 쉬었다가 가시더	다리도 아프고 날이 뜨거우니까 저기 그늘 에서 잠시 쉬었다가 갑시다
도로깨가 꽤나 무거우니까 허리 다칠 수 이쓰니꺼네 타작 털 때 살살 두드리래	도리깨가 꽤나 무거우니까 허리 다칠 수 있으니까 타작 털 때 살살 두드려라
옛날에는 특별한 간식이 업으니꺼네 아 강냉이 감자 거튼 걸 먹고 그랜니더	옛날에는 특별한 간식이 없으니까 아 강냉이 감자 같은 걸 먹고 그랬어요
둔구릴로 쓸 나무는 또갈라가 저쪽 단장 밑에 싸아두마 됩니다	땔감으로 쓸 나무는 쪼개서 저쪽 담장 밑에 쌓아두면 됩니다
여개까정 오시느라 욕뽠는데 시원한 냉수부텀 한 잔 드시이소	여기까지 오시느라 수고하셨는데 시원한 냉수부터 한 잔 드십시오
지진이 이러나만 어떤 책상 밑으로 들어가 멈출 때까지 기달려야 함니데이	지진이 일어나면 어떤 책상 밑으로 들어가 멈출 때까지 기다려야 합니다
요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 읻쓰꺼네 정말 답답하네	요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 있으니까 정말 답답하네
오랜만에 가족끼리 외식 한번 하자고 하는디 그것도 못하문 우야능교	오랜만에 가족끼리 외식 한번 하자고 하는데 그것도 못하면 어떡해요
새옷 입으시꺼네 사람이 달라 비는데 전부텀 내가 옷 좀 사 입으라고 안 하더나	새옷 입으시니까 사람이 달라 보이는데 전부터 내가 옷 좀 사 입으라고 안 않았나
밀감이 너무 새그러워가서 못 머껜는디 냉장고에 다른 과일 있으면 좀 내올래	밀감이 너무 시어서 못 먹겠는데 냉장고에 다른 과일 있으면 좀 내올래
오랜만에 조캐를 보니꺼네 못 알아볼 정도로 훌쩍 커 버리꺄 깜짝 놀래떠네	오랜만에 조카를 보니까 못 알아볼 정도로 훌쩍 커 버리꺄 깜짝 놀랬다
수술비가 한두푼이 아닌디 갑자기 돈 이바구를 하만 어쩌라 말이고	수술비가 한두푼이 아닌디 갑자기 돈 이야기를 하만 어쩌라 말이고
추석 때 차례 지내면서 조상한테 감사하다고 인사를 잘 해야 된데이	추석 때 차례 지내면서 조상한테 감사하다고 인사를 잘 해야 된데이
수박은 큰 게 마시따꼬 하는데 차매는 작은 게 맛있는 건가요	수박은 큰 게 맛있다고 하는데 참외는 작은 게 맛있는 건가요
등더리에 쌀 밑이 다 번개져썬는데 연고를 바르니꺼네 히한하구로 금방 까라안네요	등에 살 밑이 다 벗겨졌었는데 연고를 바르니까 희한하게 금방 가라앉네요
나이가 드느꺼네 귀끼가 어두워져가 사람들이 무신 말을 해도 잘 못 아라듣껃는디	나이가 드니까 귀가 어두워져서 사람들이 무슨 말을 해도 잘 못 알아듣겠는데
시아버님께서 옷 차려 입고 나가시면 사람들이 가다쟁이라고 말씀 많이 하셨니더	시아버님께서 옷 차려 입고 나가시면 사람들이 멋쟁이라고 말씀 많이 하셨어요
애놈들이 쌀을 다 빼뜨러 가 버렫써 없으니까네 만날 꽁보리밥 밖에 못 머걷찌롱	왜놈들이 쌀을 다 빼앗아 가 버려서 없으니까네 만날 꽁보리밥 밖에 못 먹었지요
채도가 걸리만 얼굴이 노랗게 돼 가지고 사람이 기운이 하나도 없어 빔니더	채독이 걸리면 얼굴이 노랗게 돼 가지고 사람이 기운이 하나도 없어 보입니다
돼지 머리 갖다 놓고 굿판 벌리먼 동네 사람들이 쭉 와가지고 구경도 하고 그랟떠니	돼지 머리 갖다 놓고 굿판 벌리면 동네 사람들이 쭉 와서 구경도 하고 그랬었다
너미 무시 구등일까 어딘지 아는 사람들은 다른 집 무시를 빼 가기도 했지롱	남의 무 구덩이가 어딘지 아는 사람들은 다른 집 무를 빼 가기도 해지요
배미에 물리만 병어네 가야지 덴장 거튼 거 마음대로 바르만 큰일 남니더	뱀에 물리면 병원에 가야지 된장 같은 거 마음대로 바르면 큰일 납니다
평생을 농새만 지으이꺼네 허리가 구버가 인자는 똑빠리 걸을 수가 엄니더	평생을 농사만 지으니까 허리가 굽어서 이제는 똑바로 걸을 수가 없습니다
닭을 달구통에 넣어두지 안으만 밤에 산짐승이 내려와가 물고 가버립니더이	닭을 닭장에 넣어두지 않으면 밤에 산짐승이 내려와서 물고 가버립니다
일단을 우애 짜는지 그 과정을 한번 좀 말씀해 주실랍니꺼	일단을 어떻게 짜는지 그 과정을 한번 좀 말씀해 주시겠습니까
콘센트에 코드를 너무 많이 꼬브만 불이 날 수 이쓰니꺼네 정말 위험 함니대이	콘센트에 코드를 너무 많이 꼽으면 불이 날 수 있으니까 정말 위험 합니다
자식들 때문에 열심히 사랏는디 인자 자식들이 이렇게 날 챙겨주니까네 고맙지로	자식들 때문에 열심히 살았는데 이제 자식들이 이렇게 날 챙겨주니까 고맙지요
태풍 때민에 바람이 세게 부꺼네 산사태가 날까봐 잠을 한숨도 못 잗니더	태풍 때문에 바람이 세게 부니까 산사태가 날까봐 잠을 한숨도 못 잤습니다
베를 짜다가 줄이 터져 삐만 끊어질 데를 마카 이사가 다시 짜야 함니데이	베를 짜다가 줄이 터져 버리면 끊어질 데를 모두 이어서 다시 짜야 합니다
동네서 무신 사고라도 생기만 마을 사람들이 구째이 불라가 굿하고 그래씸미더	동네에서 무슨 사고라도 생기면 마을 사람들이 무당을 불러서 굿하고 그랬습니다
감기약 먹고 자부러울 때는 사고 날 수 이쓰니까네 개운기 몰지 마시오	감기약 먹고 잠 올 때는 사고 날 수 있으니까 경운기 몰지 마세요
남자들은 농악도 하고 씨름도 하고 여자들은 강강술래 하면서 노랏지러	남자들은 농악도 하고 씨름도 하고 여자들은 강강술래 하면서 놀았지요
된장국 낄이고 호박밥 해가 양념장으로 비벼 무만 달짝한 게 마신니더	된장국 끓이고 호박밥 해서 양념장으로 비벼 먹으면 달짝한 게 맛있습니다
올래는 날씨가 조아가 농사도 잘 됐고 바띠기로 팔고 하니꺼네 기분 조으니더	올해는 날씨가 좋아서 농사도 잘 됐고 밭떼기로 팔고 하니까 기분 좋습니다
요새는 시간이 조금만 지나도 다 이저빼고 물건도 자주 일가 뿌려서 크닐입니더	요새는 시간이 조금만 지나도 다 잊어버리고 물건도 자주 잃어 버려서 큰일입니다
마을 모숨구는 날에는 사람들이 같이 이것저것 다니면서 품앗이를 합니다	마을 모심는 날에는 사람들이 같이 이것저것 다니면서 품앗이를 합니다
상량하만 쥐인하고 일꾼들이 음식도 농갈라 묵꼬 술도 마시고 그랟니더	상량하면 주인하고 일꾼들이 음식도 나눠 먹고 술도 마시고 그랬습니다
우리 어무이는 솜씨가 조아가 옷도 잘 맹글고 음식도 맛깔라구로 했습니다	우리 어머니는 솜씨가 좋아서 옷도 잘 만들고 음식도 맛깔나게 했습니다
윤디를 화로에 올려놓고 뜨겁구로 달궈가 윤디지를 하지로	인두를 화로에 올려놓고 뜨겁게 달궈서 인두질을 하지요
지금 얼른 밥상부터 차릴 테니꺼네 배가 고프더라도 조금만 차므이소	지금 얼른 밥상부터 차릴 테니까 배가 고프더라도 조금만 참으세요
소는 트래기가 까만 것도 있고 빨간 것도 인는디 그래도 누런 기 제일 만치로	소는 털이 까만 것도 있고 빨간 것도 있는데 그래도 누런 게 제일 많지
시아버님께서 늦게까지 안 드러오마 홀빈해가 불 켜 놓고 밤새 기다리고 핻니더	시아버님께서 늦게까지 안 들어오면 허전해서 불 켜 놓고 밤새 기다리고 했습니다
날이 춥고 손도 시리지만 그캐도 우리 일이니까네 별로 피곤한 줄 모르겠다	날이 춥고 손도 시리지만 그래도 우리 일이니까 별로 피곤한 줄 모르겠다
올해는 날씨도 좋았고 비도 적당하구로 와가 밭농사가 정말 잘 됐더라	올해는 날씨도 좋았고 비도 적당하게 와서 밭농사가 정말 잘 됐더라
자석들 서울에서 직장 댕기는디 바빠가 연락을 잘 안 해도 잘 있지 안컨는교	자식들 서울에서 직장 다니는데 바빠가 연락을 잘 안 해도 잘 있지 않겠어요
알라가 놀이공원에 가자고 저렇게 잡치는디 바빠도 한 번은 가 보시더	어린 아이가 놀이공원에 가자고 저렇게 조르는데 바빠도 한 번은 가 봅시다
여유가 있는 사람들은 기와집 지을 때 보통 몇 칸짜리를 집을 지었습니까	여유가 있는 사람들은 기와집 지을 때 보통 몇 칸짜리를 집을 지었습니까
일이 힘들어도 버리가 손주들 용돈이라도 줄 수 이쓰니께 조치로	일이 힘들어도 벌어서 손주들 용돈이라도 줄 수 있으니까 좋지
이 구두 신은 지 오 년이 지내니이꺼네 굽이 다 딸가가 인자는 내삐리야게따	이 구두 신은 지 오 년이 지나니까 굽이 다 닳아서 이제는 버려야겠다
날이 더우만 소금을 쪼깨 여코 추우만 많이 여코 그래야 맛이 제대로 남니더	날이 더우면 소금을 조금 넣고 추우면 많이 넣고 그래야 맛이 제대로 납니다
나물 무칠 때는 간을 간간하게 맞춰야지 안 그러먼 쓴 맛이 나서 안 돼	나물 무칠 때는 간을 간간하게 맞춰야지 안 그러면 쓴 맛이 나서 안 돼
단장은 납작한 돌삐를 가지고 쭉 이어 멩글기도 하는디 다 그렇지는 안니더	단장은 납작한 돌멩이를 가지고 쭉 이어 만들기도 하는데 다 그렇지는 않습니다
여개는 전에 살던 때보다 시설도 좋고 애들 학교도 정말 가차바가 좋았다	여기는 전에 살던 때보다 시설도 좋고 애들 학교도 정말 가까워서 좋았다
휴가 때만 되만 사람들이 여기에 놀러 와가 씨래기를 내뿌리니꺼네 어선시럽다	휴가 때만 되면 사람들이 여기에 놀러 와서 쓰레기를 내버리니까 지긋지긋하다
오늘 비가 올 것 같으니까네 우산 챙겨 가고 이자빼지 말고 단단히 챙겨가 온나	오늘 비가 올 것 같으니까네 우산 챙겨 가고 잊어버리지 말고 단단히 챙겨서 와라
여기는 촌꾸석이라가 빙언에 갈라꼬 하만 차를 타고 한참 올라가야 하는디	여기는 촌구석이라 병원에 가려고 하면 차를 타고 한참 올라가야 하는데
가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 올라꼬 해요	가족끼리 해돋이 보면서 새해 다짐도 하고 소원도 빌고 오려고 해요
삼신 할매한테 자식들 잘 공부 잘하고 가족들 건강하고로 해 달라고 빌었지요	삼신 할매한테 자식들 잘 공부 잘하고 가족들 건강하게 해 달라고 빌었지요
알라가 어제부터 열이 안 떠러지는데 이라다 큰 일 나는거 아닌지 모르겠다	어린아이가 어제부터 열이 안 떨어지는데 이러다가 큰 일 나는거 아닌지 모르겠다
코피가 안 멈치고 이러쿠로 계속 나만 병원에 가봐야 하는 거 아닌구요	코피가 안 멈추고 이렇게 계속 나면 병원에 가봐야 하는 거 아닌가요
요새는 예물도 많이 하지만 옛날에는 우리 결혼할 때는 생각도 못 탠니더	요새는 예물도 많이 하지만 옛날에는 우리 결혼할 때는 생각도 못 합니다
겨울에는 주적삼 안의 소캐뭉치를 여코 꼬매가 이번니더	겨울에는 주적삼 안의 솜뭉치를 넣고 꿰매서 입었습니다
이부시 좀 시끄러워도 사이가 불편해질까 봐 고만 참고 살안니더	이웃이 좀 시끄러워도 사이가 불편해질까 봐 그냥 참고 살았습니다
지난주에 상초도 숨가 놛쓰니까네 사월 초쯤 되면 먹을 수 있을 겁니더	지난주에 상추도 심어 놨으니까 사월 초쯤 되면 먹을 수 있을 겁니다
여기는 시골이라 교통이 좀 불편한디 공기도 깨끗하고 경치가 참 좋아	여기는 시골이라 교통이 좀 불편한데 공기도 깨끗하고 경치가 참 좋아
시래기를 새끼에 엮어서 말려놨다가 나중에 국 끼릴 때 여어가 머그만 맛있어요	시래기를 새끼에 엮어서 말려놨다가 나중에 국 끓일 때 넣어서 먹으면 맛있어요
돼지 잡을 때는 어른이 여럿 붙어야지 안 그라믄 힘들가 몬 잡니더	돼지 잡을 때는 어른이 여럿 붙어야지 안 그러면 힘들어서 못 잡습니다
에 가래떡 하고 술을 차려 놓았으니까 네 편하게 드시면서 말씀 나누시오	에 가래떡 하고 술을 차려 놓았으니까 네 편하게 드시면서 말씀 나누시오
빨리 무그면 과식하게 되니까 배고파도 천천히 드시는 게 좋습니다	빨리 먹으면 과식하게 되니까 배고파도 천천히 드시는 게 좋습니다
비가 많이 오믄 축대부터 살피고 위험하다 시프먼 얼른 집에서 나와야 함니더	비가 많이 오면 축대부터 살피고 위험하다 싶으면 얼른 집에서 나와야 합니다
운동을 안 하면 좋은 약을 많이 먹어도 아무 소용이 업씁니더	운동을 안 하면 좋은 약을 많이 먹어도 아무 소용이 없습니다
더릅을 살째기 데쳐가 무쳐 먹기도 하고 꼬치장에 찍어 먹기도 해요	두릅을 살짝 데쳐서 무쳐 먹기도 하고 고추장에 찍어 먹기도 해요
어릴 때 핵교도 못 가고 풀 빌러 가고 소풀 미기러 다니고 그랜 니더	어릴 때 학교도 못 가고 풀 빌러 가고 소풀 매기러 다니고 그랬 습니다
여름철에는 모든 음식을 잘 익혀 묵고 물도 꼭 끼린 것만 드셔야 합니다	여름철에는 모든 음식을 잘 익혀 먹고 물도 꼭 끓인 것만 드셔야 합니다
모기향을 피우만 화재 위험이 이쓰니꺼네 모구장을 쳐 놓고 주무시는 게 좋아요	모기향을 피우면 화재 위험이 있으니까 모기장을 쳐 놓고 주무시는 게 좋아요
엘리베이터에 가두기만 우럭으로 나오라고 하지 말고 비상벨을 누질러서 도움을 청하이소	엘리베이터에 가두기만 무력으로 나오라고 하지 말고 비상벨을 눌러서 도움을 청하세요
스 스님이 시주 하러 오믄 많이는 못 드려도 쌀을 쪼매만 담아 드리고 그램니다	스 스님이 시주 하러 오면 많이는 못 드려도 쌀을 조금만 담아 드리고 그럽니다
일을 잘 할 수 있으면 지가 맡아서 하든지 아니면 당신이 노가리는 하지 마라야지로	일을 잘 할 수 있으면 자신이 맡아서 하든지 아니면 당신이 잔소리는 하지 말아야지요
비틀로 옷을 만들어 입었었다고 핸는디 옷 만드는 과정을 알려 주실람니까	베틀로 옷을 만들어 입었었다고 했는데 옷 만드는 과정을 알려 주시렵니까
우리 메느리는 농사 일은 잘 못해도 청소 하나는 정갈시럽꾸로 잘 하니더	우리 며느리는 농사 일은 잘 못해도 청소 하나는 정갈스럽게 잘 합니다
점심 때 돌찬치에 가가 어때나 많이 먹었는지 배불러서 저녁을 못 먹것니더	점심 때 돌찬치에 가서 얼마나 많이 먹었는지 배불러서 저녁을 못 먹겠어요
처음에는 형한테 화가 많이 났는데 이야기를 듣다 보니꺼네 이해가 되더라고요	처음에는 형한테 화가 많이 났는데 이야기를 듣다 보니까 이해가 되더라고요
산비는 하루 저녁에만 많이 짜는디 맹주는 촘촘해가 많이 몬 짜요	삼베는  하루 저녁에만 많이 짜는데  명주는  촘촘해서  많이 못  짜요
가스레인지에 불 켜는 걸 잊어버려서 음식을 마케 태울 뻔했습니다	가스레인지에 불 켜는 걸 잊어버려서 음식을 모두 태울 뻔했습니다
오랫동안 한 동네에서 살았는데 할머니가 도라가시니꺼네 매음이 아프네요	오랫동안 한 동네에서 살았는데 할머니가 돌아가시니까 마음이 아프네요
